FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2018,2123.868,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2019,2153.657,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2020,2075.428,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2021,2080.525,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2022,2145.361,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2023,2225.751,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2024,2230.001,,
A,Annuale,ITD3,Veneto,9,Totale,Y15-89,15-89 anni,2025,2201.57,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2018,10.495,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2019,13.086,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2020,13.841,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2021,15.527,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2022,14.71,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2023,16.159,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2024,15.985,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-24,15-24 anni,2025,13.949,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2018,46.777,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2019,47.565,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2020,47.745,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2021,48.466,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2022,50.922,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2023,50,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2024,50.895,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y25-34,25-34 anni,2025,51.49,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2018,57.271,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2019,60.651,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2020,61.585,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2021,63.993,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2022,65.632,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2023,66.158,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2024,66.88,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y15-34,15-34 anni,2025,65.439,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2018,118.288,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2019,117.078,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2020,112.593,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2021,110.425,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2022,107.632,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2023,103.077,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2024,102.358,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y35-49,35-49 anni,2025,100.081,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y50-64,50-64 anni,2018,96.698,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y50-64,50-64 anni,2019,100.25,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y50-64,50-64 anni,2020,102.382,,
A,Annuale,ITD4,Friuli-Venezia Giulia,1,Maschi,Y50-64,50-64 anni,2021,101.154,,
